,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,16.0,16.0,32.0,113474.4728125,61.33755287162162,0.015547968116733596
0,16.0,16.0,64.0,113943.1634375,61.59089915540542,0.01548401354155967
0,16.0,16.0,128.0,113612.8971875,61.412376858108104,0.015529024689773834
0,16.0,16.0,256.0,114278.4884375,61.77215591216216,0.015438579119896456
0,16.0,16.0,512.0,115455.8578125,62.40857179054055,0.015281143104573087
0,16.0,16.0,1024.0,116338.1846875,62.88550523648648,0.015165248541578297
0,16.0,16.0,2048.0,118186.3140625,63.88449408783784,0.014928103136046542
0,16.0,16.0,4096.0,120076.7496875,64.90635118243243,0.01469308163394503
0,16.0,16.0,8192.0,123370.8071875,66.68692280405405,0.014300769571306436
0,16.0,16.0,16384.0,131127.0653125,70.87949476351352,0.013454868997061713
0,16.0,16.0,32768.0,142101.3090625,76.81151841216216,0.01241577222077477
0,16.0,32.0,32.0,113056.4859375,61.11161402027028,0.031210902603613176
0,16.0,32.0,64.0,114292.3434375,61.77964510135134,0.030873415183624745
0,16.0,32.0,128.0,115426.4990625,62.39270219594594,0.0305700597343874
0,16.0,32.0,256.0,116302.4615625,62.866195439189184,0.030339813312003208
0,16.0,32.0,512.0,116045.3415625,62.72721165540542,0.030407036800306562
0,16.0,32.0,1024.0,117070.9259375,63.28158158783785,0.0301406599672016
0,16.0,32.0,2048.0,121085.9165625,65.45184679054054,0.029141250043700336
0,16.0,32.0,4096.0,125676.1409375,67.9330491554054,0.028076888303698876
0,16.0,32.0,8192.0,132397.0521875,71.56597415540541,0.02665161280428855
0,16.0,32.0,16384.0,145480.9409375,78.6383464527027,0.024254688951890903
0,16.0,32.0,32768.0,170274.4890625,92.04026435810812,0.02072298082059836
0,16.0,64.0,32.0,112248.7896875,60.675021452702694,0.06287096690910579
0,16.0,64.0,64.0,116064.8209375,62.7377410472973,0.0608038670519008
0,16.0,64.0,128.0,116569.1328125,63.01034206081081,0.0605408118920305
0,16.0,64.0,256.0,116797.9646875,63.13403496621621,0.0604221996648323
0,16.0,64.0,512.0,117663.8240625,63.60206706081081,0.059977567449477534
0,16.0,64.0,1024.0,121251.3396875,65.54126469594594,0.05820298530453794
0,16.0,64.0,2048.0,124713.5909375,67.41275185810811,0.05658717617823274
0,16.0,64.0,4096.0,135310.1609375,73.14062753378379,0.052155654044184215
0,16.0,64.0,8192.0,147070.8384375,79.49775050675676,0.04798497116895324
0,16.0,64.0,16384.0,175766.3421875,95.00883361486487,0.04015097460691642
0,16.0,64.0,32768.0,222904.5653125,120.48895422297295,0.03166014088441847
