,num_inputs,num_features,num_outputs,time,iqr
0,16,16,32,42.46777079999447,0.1005375757813436
1,16,16,64,42.33963372185826,0.26341425254941214
2,16,16,128,42.34864100813866,0.21633952856063435
3,16,16,256,42.31820622459054,0.29726363718509513
4,16,16,512,41.91478006541729,0.08879620581865269
5,16,16,1024,41.94585632532836,0.4241599701344914
6,16,16,2048,41.484238412231214,0.08375085890293223
7,16,16,4096,41.879581660032265,0.411439873278142
8,16,16,8192,42.14492579922081,0.178488716483119
9,16,16,16384,41.808620132505894,0.19597010686993088
10,16,16,32768,42.00128285214305,0.21560499444603762
11,16,32,32,42.63260202482343,0.1473836600780491
12,16,32,64,42.39484613761305,0.2029592171311353
13,16,32,128,44.08327442089235,0.6922287866473211
14,16,32,256,42.69025005400181,0.6151264533400544
15,16,32,512,42.60568946599961,0.727452989667649
16,16,32,1024,42.44748409837484,0.2901338972151324
17,16,32,2048,43.440605564257076,1.2237392365932493
18,16,32,4096,42.079131994396455,0.2126619219780011
19,16,32,8192,42.15270448476076,0.19491855055094093
20,16,32,16384,42.642105147242546,0.3689742647111367
21,16,32,32768,44.41065730283371,0.6268406286835693
22,16,64,32,42.13313437998295,0.2616426907479748
23,16,64,64,42.23899904638529,0.12271748855710249
24,16,64,128,42.56759740412235,0.12726131826639028
25,16,64,256,42.33184266835451,0.18611224368214385
26,16,64,512,42.879412043839686,0.28727324679494076
27,16,64,1024,42.77870524674654,0.7149827666580653
28,16,64,2048,42.96380139887333,0.12348722666501806
29,16,64,4096,43.073043916374445,0.44148201122880054
30,16,64,8192,41.993516124784946,0.07840301841497468
31,16,64,16384,42.972415518015616,0.1263923943042766
32,16,64,32768,47.44165465235711,0.0011794269084934431
33,16,128,32,42.49751064926386,0.3105674870312186
34,16,128,64,41.94591900333762,0.011753290891649778
35,16,128,128,42.9595692796593,0.3724885173142026
36,16,128,256,42.82074408605694,0.12059491127728982
37,16,128,512,42.77884708717466,0.46082278713584
38,16,128,1024,43.182904459536076,1.0058208368718633
39,16,128,2048,47.802443243563175,2.699798531830309
40,16,128,4096,44.03961827978492,0.28603253886104074
41,16,128,8192,44.350061286240816,0.17795329913496616
42,16,128,16384,48.38353710249066,0.002042111009358991
43,16,128,32768,76.06288859689677,0.024821609258653468
44,16,256,32,47.76062125340104,1.202688179910186
45,16,256,64,45.60152864591641,1.8288302235305316
46,16,256,128,46.962574534118176,4.32024681940675
47,16,256,256,45.59261271730065,3.021882753819224
48,16,256,512,47.29311985895038,3.474419470876451
49,16,256,1024,46.73613008111715,3.881140146404504
50,16,256,2048,44.293441493064165,0.21723303943872696
51,16,256,4096,43.946831561625004,0.14470089226960797
52,16,256,8192,48.726266995072365,0.29682330787182076
53,16,256,16384,76.27374685748859,0.022129155695437084
54,16,256,32768,166.27949196845293,0.037108547985554824
55,16,512,32,49.147031493484974,0.24347063153982698
56,16,512,64,49.36370903626084,0.09398097172379472
57,16,512,128,49.031839072704315,0.3056264482438628
58,16,512,256,44.35522444546223,0.21685268729925378
59,16,512,512,44.826848078519106,1.3783548958599525
60,16,512,1024,44.13916628807784,0.3926312550902385
61,16,512,2048,44.078777451068156,0.09262571111321734
62,16,512,4096,48.83555423468352,0.6466962397098539
63,16,512,8192,76.31043941472414,0.025824643671518783
64,16,512,16384,166.6155234695627,0.04325155168770963
65,16,512,32768,325.2931953008686,0.013560056686453409
66,32,16,32,45.19920557737351,1.1813017539679984
67,32,16,64,44.0526594594121,0.18728915601968837
68,32,16,128,46.162424199283116,5.132258217781783
69,32,16,256,44.5067011192441,0.008530262857674945
70,32,16,512,44.258035812526934,0.2740540541708457
71,32,16,1024,44.95555046945811,1.027015876024957
72,32,16,2048,42.5974597968161,0.466560851782563
73,32,16,4096,41.95688197389245,0.04307655617594879
74,32,16,8192,41.802578531205654,0.16340343281627268
75,32,16,16384,41.8408877030015,0.21100752055645186
76,32,16,32768,42.08761438727379,0.4087141714990183
77,32,32,32,41.940369736403234,0.5552794784307518
78,32,32,64,42.04952759668231,0.07226923480629927
79,32,32,128,41.827943697571754,0.11316994205117144
80,32,32,256,42.031242027878754,0.23805806413292893
81,32,32,512,42.81857908647666,0.6076926365494771
82,32,32,1024,42.271462585777044,0.16949279233812956
83,32,32,2048,42.20016794279218,0.07690861821174107
84,32,32,4096,42.27948643267155,0.0753004103898981
85,32,32,8192,42.33038358390332,0.13456502929330086
86,32,32,16384,42.12259216234088,0.016834307461978153
87,32,32,32768,43.06888513267041,1.12626682966948
88,32,64,32,42.472528681779906,0.7516134064644573
89,32,64,64,42.48919190838933,0.23703631013631918
90,32,64,128,41.86073504388332,0.10147318243980251
91,32,64,256,42.08382053300738,0.6902985274791668
92,32,64,512,42.64393341826631,0.729746185243124
93,32,64,1024,41.83159373700618,0.17277020961046352
94,32,64,2048,42.13630735874176,0.2412552013993262
95,32,64,4096,41.93480510264635,0.17768302932381663
96,32,64,8192,42.52047771587968,0.4845350980758656
97,32,64,16384,41.896436139941216,0.6323326379060741
98,32,64,32768,48.37433515116572,0.0023080967366650843
99,32,128,32,42.130854818969965,0.3090912476181988
100,32,128,64,42.22110822796822,0.20786290988325734
101,32,128,128,41.953167598694556,0.13306112959980898
102,32,128,256,42.18613091856241,0.21962067112326755
103,32,128,512,42.141895797103636,0.33153463155030805
104,32,128,1024,42.52087464556098,0.576939340680837
105,32,128,2048,42.55121232941746,0.11534914374352007
106,32,128,4096,42.460209876298904,0.7172459736466431
107,32,128,8192,42.002982050180435,0.21301843225955658
108,32,128,16384,48.47164195030928,0.0019023194909102053
109,32,128,32768,76.27447066759623,0.015987083315846917
110,32,256,32,41.79823227226734,0.08015921339392607
111,32,256,64,42.33156114816666,0.4626891575753702
112,32,256,128,43.42900833114982,0.4699821583926722
113,32,256,256,46.771700195968144,4.866137169301508
114,32,256,512,44.83596250414848,0.6161310710012905
115,32,256,1024,44.31410361081362,0.4557171836495395
116,32,256,2048,43.851117435842745,0.4145754501223538
117,32,256,4096,44.23451175913215,0.39572566747665544
118,32,256,8192,48.548884727060795,0.0036649405956267335
119,32,256,16384,76.35035317529132,0.020848121494044927
120,32,256,32768,166.6922552200655,0.035301549360143916
121,32,512,32,42.19569763168692,0.21456247195601683
122,32,512,64,42.64175171032548,0.18269540742040186
123,32,512,128,46.51306372135877,1.9509358331561057
124,32,512,256,43.29470708966255,0.6451657973229852
125,32,512,512,42.98519229516388,0.41295289993285816
126,32,512,1024,42.59235471487045,0.14160657301544613
127,32,512,2048,42.90939012542367,0.2489049918949626
128,32,512,4096,48.44734951853752,0.014657620340585221
129,32,512,8192,76.43846291358822,0.0926489010453222
130,32,512,16384,166.91280016675591,0.07697404362261859
131,32,512,32768,325.57913208646437,0.03843102604152073
132,64,16,32,44.25995126366615,0.19490402191877124
133,64,16,64,43.26827300712466,0.8150313049554793
134,64,16,128,41.98875639587641,0.35783927887678724
135,64,16,256,42.55038577343501,1.0417867451906209
136,64,16,512,41.95152031257749,0.388939492404456
137,64,16,1024,42.78765613229102,0.8392101153731357
138,64,16,2048,42.703156881034374,0.5838023498654391
139,64,16,4096,42.12824309244752,0.44088577851653016
140,64,16,8192,42.26434636861086,0.24601435288787374
141,64,16,16384,42.169672176241875,0.312868133187292
142,64,16,32768,42.31394628062845,0.2883782610297185
143,64,32,32,42.87685088813305,0.23932838812470575
144,64,32,64,42.55390156060458,0.36298781633377036
145,64,32,128,43.23848865926265,1.412060484290122
146,64,32,256,43.348370585590594,0.5581348203122598
147,64,32,512,42.52613814547658,0.16390029340982115
148,64,32,1024,42.59448641911149,0.6230474449694186
149,64,32,2048,43.09655226767063,0.8748566731810548
150,64,32,4096,42.79565893113614,0.1344913616776463
151,64,32,8192,42.21972273662686,0.27268081903457836
152,64,32,16384,41.741079818457365,0.22847419604659064
153,64,32,32768,43.03489062935114,1.4838462695479406
154,64,64,32,42.39313628524542,0.5225550383329411
155,64,64,64,42.61025242507458,0.5005619488656536
156,64,64,128,42.3758034594357,1.323525607585905
157,64,64,256,42.3318836092949,0.5095949396491047
158,64,64,512,42.350125294178724,0.39025750011205473
159,64,64,1024,42.406449764966965,0.1145727001130537
160,64,64,2048,42.76865812018514,0.28069410473108636
161,64,64,4096,43.516464214771986,0.050706602633000655
162,64,64,8192,42.82386369131347,0.641197897493839
163,64,64,16384,42.57094241678714,0.19812239333987544
164,64,64,32768,48.44120593741536,0.002343486994500906
165,64,128,32,42.462618723511696,0.3842335194349241
166,64,128,64,42.426643390208476,0.10008458048104915
