,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,64.0,32.0,64.0,113631.0721875,61.422201182432424,0.12421232689496593
0,64.0,32.0,128.0,113192.7703125,61.18528125000001,0.12469329838817261
0,64.0,32.0,256.0,115789.9528125,62.58916368243243,0.1218964127771277
0,64.0,32.0,512.0,116571.5115625,63.01162787162162,0.12107915302554559
0,64.0,32.0,1024.0,117069.5240625,63.28082381756756,0.12056408360584
0,64.0,32.0,2048.0,122427.3490625,66.17694543918918,0.11528780123544723
0,64.0,32.0,4096.0,126011.6253125,68.11439206081081,0.11200855357919673
0,64.0,32.0,8192.0,133782.3246875,72.31477010135136,0.10550257603758519
0,64.0,32.0,16384.0,146486.9534375,79.18213699324323,0.09635247066471005
0,64.0,32.0,32768.0,174898.2059375,94.53957077702704,0.08070054125418165
0,64.0,64.0,32.0,112184.0821875,60.64004442567567,0.2516289229392264
0,64.0,64.0,64.0,118969.6059375,64.30789510135133,0.23727707210446514
0,64.0,64.0,128.0,116954.0803125,63.21842179054055,0.2413661814500784
0,64.0,64.0,256.0,118911.7540625,64.27662381756757,0.23739251007525192
0,64.0,64.0,512.0,118749.3459375,64.1888356418919,0.23771718107310338
0,64.0,64.0,1024.0,123417.4034375,66.71210996621622,0.22872592507037595
0,64.0,64.0,2048.0,126034.5615625,68.12679003378378,0.22397633964558455
0,64.0,64.0,4096.0,138460.4703125,74.84349746621622,0.20387594889944946
0,64.0,64.0,8192.0,152357.3634375,82.35533158783784,0.18527991776373018
0,64.0,64.0,16384.0,178573.1340625,96.52601841216216,0.15807954492407894
0,64.0,64.0,32768.0,225929.6434375,122.12413158783784,0.12494491354396438
0,64.0,128.0,32.0,115436.8759375,62.39831131756757,0.489076987630027
0,64.0,128.0,64.0,123224.0209375,66.60757888513514,0.4581697554425174
0,64.0,128.0,128.0,120501.0178125,65.13568530405406,0.46852317565898155
0,64.0,128.0,256.0,122758.2103125,66.35578935810811,0.45990829774705233
0,64.0,128.0,512.0,124012.1803125,67.03361097972973,0.45525785767914106
0,64.0,128.0,1024.0,130150.4628125,70.35160152027026,0.4337865445933047
0,64.0,128.0,2048.0,140758.4109375,76.08562753378378,0.4010951754592745
0,64.0,128.0,4096.0,155706.0746875,84.16544577702703,0.36259034625335873
0,64.0,128.0,8192.0,182814.1559375,98.81846266891891,0.3088246598942902
0,64.0,128.0,16384.0,240199.6121875,129.83762820945947,0.23504417438383973
0,64.0,128.0,32768.0,345422.7409375,186.71499510135135,0.1634447094578258
0,64.0,256.0,32.0,120352.8403125,65.05558935810811,0.9382000357455508
0,64.0,256.0,64.0,128614.1890625,69.52118327702703,0.877936096271992
0,64.0,256.0,128.0,126563.3834375,68.41263969594594,0.8921619825277373
0,64.0,256.0,256.0,129130.6171875,69.80033361486487,0.8744249933165419
0,64.0,256.0,512.0,135340.6959375,73.15713293918918,0.8343021903861838
0,64.0,256.0,1024.0,147473.2934375,79.71529375000001,0.765664320959313
0,64.0,256.0,2048.0,163357.1459375,88.3011599662162,0.6912157924670281
0,64.0,256.0,4096.0,202962.0940625,109.70924003378379,0.5563356033844579
0,64.0,256.0,8192.0,273536.5709375,147.85760591216217,0.41279686544397237
0,64.0,256.0,16384.0,428240.9353125,231.4815866554054,0.263671755203434
0,64.0,256.0,32768.0,730320.6484375,394.7679180743243,0.15461022402264274
0,64.0,512.0,32.0,131944.8465625,71.32153868243243,1.7115490602049777
