,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,16.0,16.0,32.0,2178.8871875,1.177776858108108,1.6194489850012674
0,16.0,16.0,64.0,2269.0646875,1.2265214527027026,3.1101765220330453
0,16.0,16.0,128.0,2321.0578125,1.2546258445945946,6.08101572211373
0,16.0,16.0,256.0,2528.1965625,1.3665927364864865,11.165575607196867
0,16.0,16.0,512.0,2437.8215625,1.3177413851351352,23.15901165929275
0,16.0,16.0,1024.0,2532.0746875,1.3686890202702704,44.59391149619465
0,16.0,16.0,2048.0,2612.0828125,1.4119366554054056,86.455958987798
0,16.0,16.0,4096.0,2745.2684375,1.4839288851351353,164.52313369129016
0,16.0,16.0,8192.0,3029.4546875,1.637543074324324,298.17921760257815
0,16.0,16.0,16384.0,3644.5728125,1.970039358108108,495.707121357524
0,16.0,16.0,32768.0,4890.5384375,2.643534290540541,738.831030825644
0,16.0,32.0,32.0,2371.0090625,1.2816265202702701,2.9764503320499758
0,16.0,32.0,64.0,2389.4015625,1.291568412162162,5.907079187240905
0,16.0,32.0,128.0,2474.0953125,1.3373488175675674,11.409734759569274
0,16.0,32.0,256.0,2449.4071875,1.3240038851351352,23.049464956775626
0,16.0,32.0,512.0,2547.4678125,1.3770096283783784,44.324432087616245
0,16.0,32.0,1024.0,2621.9034375,1.4172451013513514,86.13212771214421
0,16.0,32.0,2048.0,2769.6009375,1.4970815878378376,163.07773854495395
0,16.0,32.0,4096.0,3011.4984375,1.6278369932432435,299.95713291718516
0,16.0,32.0,8192.0,3614.2953125,1.9536731418918922,499.8597151742559
0,16.0,32.0,16384.0,4828.7334375,2.610126182432432,748.287677305195
0,16.0,32.0,32768.0,7296.4896875,3.9440484797297297,990.4163740695043
0,16.0,64.0,32.0,2389.3615625,1.2915467905405404,5.907178349833117
0,16.0,64.0,64.0,2437.9990625,1.317837331081081,11.578661945846322
0,16.0,64.0,128.0,2509.8265625,1.3566630067567564,22.49459428372872
0,16.0,64.0,256.0,2589.5396875,1.3997511824324327,43.60430215452624
0,16.0,64.0,512.0,2655.2009375,1.43524375,85.05199871161845
0,16.0,64.0,1024.0,2787.8765625,1.5069603040540542,162.00870443368422
0,16.0,64.0,2048.0,3023.1971875,1.634160641891892,298.79639892827583
0,16.0,64.0,4096.0,3605.6584375,1.949004560810811,501.0571233621197
0,16.0,64.0,8192.0,4802.1178125,2.5957393581081076,752.4350416385515
0,16.0,64.0,16384.0,7194.5509375,3.8889464527027027,1004.4494804464782
0,16.0,64.0,32768.0,12034.6759375,6.5052302364864865,1200.9567629149863
0,16.0,128.0,32.0,2503.9465625,1.3534846283783781,11.273708744255067
0,16.0,128.0,64.0,2492.1509375,1.3471086148648646,22.654143930273218
0,16.0,128.0,128.0,2577.1134375,1.3930342905405408,43.81454595936088
0,16.0,128.0,256.0,2649.3890625,1.4321021959459457,85.23859454613189
0,16.0,128.0,512.0,2799.8740625,1.513445439189189,161.3144986107626
0,16.0,128.0,1024.0,3059.0921875,1.6535633445945948,295.2903251469939
0,16.0,128.0,2048.0,3644.9884375,1.9702640202702701,495.6506879390165
0,16.0,128.0,4096.0,4820.5440625,2.6056994932432436,749.5589121695355
0,16.0,128.0,8192.0,7182.4621875,3.8824119932432435,1006.1400775558172
0,16.0,128.0,16384.0,11913.5084375,6.43973429054054,1213.1711925899153
0,16.0,128.0,32768.0,21266.8171875,11.495576858108107,1359.218438788716
0,16.0,256.0,32.0,2521.7415625,1.3631035472972974,22.388305388353025
0,16.0,256.0,64.0,2597.7121875,1.4041687499999997,43.467123552964594
0,16.0,256.0,128.0,2658.8740625,1.4372292229729728,84.93452738143851
0,16.0,256.0,256.0,2787.3746875,1.5066890202702703,162.03783996277613
0,16.0,256.0,512.0,3095.6634375,1.6733315878378374,291.80188348557175
0,16.0,256.0,1024.0,3678.7596875,1.9885187500000001,491.1004753794444
0,16.0,256.0,2048.0,4898.3121875,2.647736317567568,737.6584726950271
0,16.0,256.0,4096.0,7339.3684375,3.9672261824324324,984.6301073993662
0,16.0,256.0,8192.0,11985.5815625,6.478692736486487,1205.876006304589
0,16.0,256.0,16384.0,21386.7303125,11.560394763513514,1351.5974485826928
0,16.0,256.0,32768.0,40377.2446875,21.82553766891892,1431.8089440469328
0,16.0,512.0,32.0,2595.3234375,1.402877533783784,43.507122603843555
0,16.0,512.0,64.0,2667.2353125,1.4417488175675675,84.6682372667887
0,16.0,512.0,128.0,2793.8878125,1.5102096283783784,161.6601210014086
0,16.0,512.0,256.0,3113.9253125,1.6832028716216216,290.0905538015202
0,16.0,512.0,512.0,3820.3221875,2.0650390202702704,472.9028216027081
0,16.0,512.0,1024.0,5114.9259375,2.7648248310810817,706.4191099753766
0,16.0,512.0,2048.0,7459.1946875,4.031997128378379,968.8127656409401
0,16.0,512.0,4096.0,12382.4815625,6.693233277027027,1167.2236454406882
0,16.0,512.0,8192.0,21524.7103125,11.634978547297296,1342.9332938936575
0,16.0,512.0,16384.0,40700.4253125,22.000229898648648,1420.439701948159
0,16.0,512.0,32768.0,73067.8103125,39.49611368243244,1582.4341738563992
0,32.0,16.0,32.0,2638.0953125,1.4259974662162163,1.3375541710683085
0,32.0,16.0,64.0,2656.2184375,1.4357937499999998,2.6568560226067772
0,32.0,16.0,128.0,2732.3703125,1.4769569256756756,5.165618879145491
0,32.0,16.0,256.0,2852.1653125,1.5417109797297295,9.897309005029584
0,32.0,16.0,512.0,3038.3328125,1.6423420608108108,18.581746325885106
0,32.0,16.0,1024.0,3198.8828125,1.7291258445945947,35.29828279356341
0,32.0,16.0,2048.0,3144.4315625,1.6996927364864864,71.8190675752129
0,32.0,16.0,4096.0,3291.7578125,1.779328547297297,137.2094411430378
0,32.0,16.0,8192.0,3545.4759375,1.9164734797297296,254.78112700349774
0,32.0,16.0,16384.0,4167.2684375,2.252577533783784,433.53120224894406
0,32.0,16.0,32768.0,5438.7096875,2.9398430743243242,664.3637167047118
0,32.0,32.0,32.0,2722.7959375,1.4717815878378377,2.5918983221319407
0,32.0,32.0,64.0,2762.5253125,1.4932569256756756,5.109232997561157
0,32.0,32.0,128.0,2947.5515625,1.593271114864865,9.577020024660273
0,32.0,32.0,256.0,3014.1946875,1.6292944256756758,18.73055325440745
0,32.0,32.0,512.0,3190.0703125,1.724362331081081,35.39579256919718
0,32.0,32.0,1024.0,3167.8621875,1.7123579391891892,71.28785166328925
0,32.0,32.0,2048.0,3297.8853125,1.7826407094594594,136.9545100094502
0,32.0,32.0,4096.0,3569.6409375,1.9295356418918919,253.05636665926843
0,32.0,32.0,8192.0,4184.9259375,2.2621221283783783,431.7020029760755
0,32.0,32.0,16384.0,5378.9309375,2.9075302364864872,671.7471884394873
0,32.0,32.0,32768.0,7854.7490625,4.2458103040540545,920.0246576734094
0,32.0,64.0,32.0,2702.1878125,1.460642060810811,5.223316302425059
0,32.0,64.0,64.0,2942.2371875,1.5903984797297297,9.594320485695809
0,32.0,64.0,128.0,3049.8078125,1.6485447635135138,18.511830076127655
0,32.0,64.0,256.0,3195.3859375,1.727235641891892,35.33690517909689
0,32.0,64.0,512.0,3207.7996875,1.7339457770270272,70.40032932065098
0,32.0,64.0,1024.0,3327.7090625,1.7987616554054053,135.7270695207089
0,32.0,64.0,2048.0,3605.5440625,1.9489427364864866,250.53652085312794
0,32.0,64.0,4096.0,4178.7190625,2.258767060810811,432.34321260890175
0,32.0,64.0,8192.0,5365.9353125,2.900505574324324,673.37399139376
0,32.0,64.0,16384.0,7758.3640625,4.193710304054054,931.4544494194171
0,32.0,64.0,32768.0,12567.8728125,6.793444763513515,1150.005680307451
0,32.0,128.0,32.0,2948.1746875,1.593607939189189,9.57499679224417
0,32.0,128.0,64.0,3019.4578125,1.6321393581081083,18.697900597804267
0,32.0,128.0,128.0,3279.5640625,1.772737331081081,34.4298987103515
0,32.0,128.0,256.0,3201.2253125,1.730392060810811,70.54490245256726
0,32.0,128.0,512.0,3339.9559375,1.8053815878378379,135.22941194976366
0,32.0,128.0,1024.0,3602.5603125,1.9473298986486487,250.74401292567316
0,32.0,128.0,2048.0,4179.0628125,2.258952871621622,432.30766958684006
0,32.0,128.0,4096.0,5365.8184375,2.9004423986486487,673.3886533311919
0,32.0,128.0,8192.0,7715.8790625,4.170745439189189,936.5831801683104
0,32.0,128.0,16384.0,12460.0959375,6.735186993243243,1159.9529796475854
0,32.0,128.0,32768.0,21806.5359375,11.787316722972971,1325.577344471426
0,32.0,256.0,32.0,3098.3853125,1.6748028716216217,18.22159737513761
0,32.0,256.0,64.0,3155.8296875,1.7058538851351353,35.77983459709481
0,32.0,256.0,128.0,3213.3596875,1.7369511824324322,70.27850154721155
0,32.0,256.0,256.0,3364.4553125,1.8186244932432434,134.2446983998854
0,32.0,256.0,512.0,3623.8278125,1.9588258445945947,249.27242416783997
0,32.0,256.0,1024.0,4233.6640625,2.288467060810811,426.7322332821547
0,32.0,256.0,2048.0,5468.4371875,2.9559119932432436,660.7520871956833
0,32.0,256.0,4096.0,7878.5753125,4.258689358108107,917.2423182343185
0,32.0,256.0,8192.0,12639.3353125,6.832073141891892,1143.503566774261
0,32.0,256.0,16384.0,21986.6396875,11.88467010135135,1314.718867474772
0,32.0,256.0,32768.0,41012.8246875,22.169094425675677,1409.6200505690804
0,32.0,512.0,32.0,3237.6753125,1.7500947635135136,34.875347873790815
0,32.0,512.0,64.0,3256.4759375,1.7602572635135139,69.34801794873042
0,32.0,512.0,128.0,3407.1471875,1.8417011824324323,132.56260350454326
0,32.0,512.0,256.0,3684.5515625,1.9916494932432431,245.164251196685
