,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,16.0,16.0,32.0,1033.8071875,0.558814695945946,3.4132068322037963
0,16.0,16.0,64.0,1130.2190625,0.610929222972973,6.244095878495123
0,16.0,16.0,128.0,1279.0690625,0.6913886824324323,11.034895807070924
0,16.0,16.0,256.0,1333.8471875,0.7209984797297296,21.163467099038552
0,16.0,16.0,512.0,1318.8959375,0.7129167229729729,42.80669744315839
0,16.0,16.0,1024.0,1350.0771875,0.7297714527027028,83.63607974701912
0,16.0,16.0,2048.0,1453.5209375,0.7856869932432433,155.36769575856178
0,16.0,16.0,4096.0,1552.1390625,0.8389940878378378,290.9921516310976
0,16.0,16.0,8192.0,1808.8559375,0.9777599662162162,499.38795265544576
0,16.0,16.0,16384.0,2017.7471875,1.0906741554054054,895.3763714334984
0,16.0,16.0,32768.0,2848.9759375,1.5399869932432428,1268.2737446587907
0,16.0,32.0,32.0,1248.5715625,0.6749035472972973,5.652216265524943
0,16.0,32.0,64.0,1327.3790625,0.717502195945946,10.633277219088875
0,16.0,32.0,128.0,1381.5434375,0.7467802364864865,20.432802871638124
0,16.0,32.0,256.0,1322.4571875,0.7148417229729729,42.69144305169295
0,16.0,32.0,512.0,1342.2809375,0.7255572635135136,84.12184267310728
0,16.0,32.0,1024.0,1442.1946875,0.7795646959459459,156.58802070970077
0,16.0,32.0,2048.0,1606.3528125,0.8682988175675677,281.171362876856
0,16.0,32.0,4096.0,1828.9740625,0.9886346283783785,493.89513375286054
0,16.0,32.0,8192.0,2154.1565625,1.1644089527027028,838.6765665031514
0,16.0,32.0,16384.0,2896.4078125,1.5656258445945943,1247.504710011292
0,16.0,32.0,32768.0,3849.0496875,2.0805673986486486,1877.4929298603447
0,16.0,64.0,32.0,1172.6934375,0.6338883445945946,12.035870106345676
0,16.0,64.0,64.0,1202.5715625,0.6500386824324325,23.47366760447177
0,16.0,64.0,128.0,1375.6165625,0.7435765202702703,41.041659311219775
0,16.0,64.0,256.0,1429.8421875,0.7728876689189189,78.97035465757091
0,16.0,64.0,512.0,1433.2065625,0.7747062499999999,157.56996582712924
0,16.0,64.0,1024.0,1567.5671875,0.847333614864865,288.1283344670137
0,16.0,64.0,2048.0,1843.8690625,0.9966859797297297,489.9054092798181
0,16.0,64.0,4096.0,2221.6096875,1.2008701013513514,813.2127826987394
0,16.0,64.0,8192.0,2905.9953125,1.5708082770270273,1243.3886705370546
0,16.0,64.0,16384.0,4158.5853125,2.247883952702703,1737.7457393109528
0,16.0,64.0,32768.0,6790.6046875,3.670597128378378,2128.4003402057115
0,16.0,128.0,32.0,1333.6503125,0.7208920608108109,21.1665606181072
0,16.0,128.0,64.0,1392.3759375,0.7526356418918918,40.54768714147942
0,16.0,128.0,128.0,1373.0296875,0.7421782094594594,82.23791539604288
0,16.0,128.0,256.0,1534.9653125,0.8297109797297298,147.12405200946804
0,16.0,128.0,512.0,1678.1015625,0.9070819256756757,269.1497289167156
0,16.0,128.0,1024.0,1888.6184375,1.0208748310810811,478.2968936898724
0,16.0,128.0,2048.0,2383.4109375,1.2883302364864866,758.0067311211578
0,16.0,128.0,4096.0,3134.3278125,1.69423125,1152.809423135523
0,16.0,128.0,8192.0,4386.3134375,2.3709802364864867,1647.525472906022
0,16.0,128.0,16384.0,7118.0065625,3.8475711148648646,2030.5018076702656
0,16.0,128.0,32768.0,10145.0359375,5.483803209459459,2849.3000121726923
0,16.0,256.0,32.0,1360.2984375,0.7352964527027028,41.50380458834787
0,16.0,256.0,64.0,1394.8984375,0.7539991554054053,80.94859570832729
0,16.0,256.0,128.0,1486.6903125,0.8036163851351352,151.90147663093404
0,16.0,256.0,256.0,1647.6528125,0.890623141891892,274.12347071813457
0,16.0,256.0,512.0,1924.6728125,1.0403636824324325,469.33754706408945
0,16.0,256.0,1024.0,2288.8865625,1.2372359797297297,789.3099202444604
0,16.0,256.0,2048.0,2972.8528125,1.6069474662162162,1215.4259173239407
0,16.0,256.0,4096.0,4222.4015625,2.282379222972973,1711.4817387608498
0,16.0,256.0,8192.0,6862.4996875,3.7094592905405404,2106.1021349757298
0,16.0,256.0,16384.0,11557.5115625,6.247303547297298,2501.0790620789926
0,16.0,256.0,32768.0,21511.2359375,11.627695101351351,2687.54899444366
0,16.0,512.0,32.0,1412.4184375,0.7634694256756757,79.94455328916192
0,16.0,512.0,64.0,1516.9734375,0.8199856418918918,148.8689285731873
0,16.0,512.0,128.0,1696.9096875,0.9172484797297297,266.1665176191823
0,16.0,512.0,256.0,1946.2503125,1.0520271959459457,464.13390695894896
0,16.0,512.0,512.0,2394.2103125,1.2941677364864868,754.5876319967986
0,16.0,512.0,1024.0,3022.3328125,1.6336934121621622,1195.527667905806
0,16.0,512.0,2048.0,4216.5440625,2.279213006756757,1713.8593389714786
0,16.0,512.0,4096.0,6796.3559375,3.6737059121621622,2126.5992162267053
0,16.0,512.0,8192.0,10352.9153125,5.59617043918919,2792.0879936979572
0,16.0,512.0,16384.0,20257.9628125,10.95025016891892,2853.8160913748848
0,16.0,512.0,32768.0,34166.0878125,18.468155574324324,3384.2036853917048
0,32.0,16.0,32.0,1169.7765625,0.6323116554054055,3.0164738669059012
0,32.0,16.0,64.0,1185.4228125,0.6407690878378378,5.9533293187241725
0,32.0,16.0,128.0,1339.0203125,0.7237947635135135,10.540833062628662
0,32.0,16.0,256.0,1363.1965625,0.7368630067567569,20.70778424129888
0,32.0,16.0,512.0,1357.7640625,0.7339265202702703,41.58127005525093
0,32.0,16.0,1024.0,1400.0134375,0.7567640202702703,80.65289147776987
0,32.0,16.0,2048.0,1564.9953125,0.8459434121621621,144.30099429505097
0,32.0,16.0,4096.0,1722.9490625,0.9313238175675674,262.14389560982187
0,32.0,16.0,8192.0,1937.2390625,1.04715625,466.2930194976228
0,32.0,16.0,16384.0,2413.2359375,1.304451858108108,748.6382365390298
0,32.0,16.0,32768.0,2978.7553125,1.6101380067567568,1213.0171403862562
